Supplementary_Table2: Summary of random mutation data (ART-Random),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,sample,chr13_count,chr13_prob,chr18_count,chr18_prob,chr21_count,chr21_prob,chrX_count,chrX_prob,chrY_count,chrY_prob,total,coverage,trisomy,Z_score_CHR13,Z_score_CHR18,Z_score_CHR21
401,sample_401,1100,0.040855742,1671,0.062063586,1118,0.041524291,1115,0.041412866,1103,0.040967167,26924,0.384535,0,0.065829689,2.131084821,0.000339762
402,sample_402,916,0.041224122,1492,0.067146715,908,0.040864086,911,0.0409991,906,0.040774077,22220,0.315632,0,0.102867727,2.653449252,-0.067827939
403,sample_403,1354,0.041125015,1917,0.058225003,1335,0.040547929,1339,0.04066942,1364,0.041428745,32924,0.471817,0,0.092903196,1.736615254,-0.100472012
404,sample_404,761,0.040452902,1352,0.07186902,762,0.04050606,767,0.040771848,776,0.041250266,18812,0.266183,0,0.025327006,3.13873392,-0.104795048
405,sample_405,708,0.039447292,1295,0.072152886,722,0.040227323,735,0.040951638,731,0.040728772,17948,0.253681,0,-0.075779994,3.167905263,-0.133575284
406,sample_406,835,0.040747609,1405,0.068563342,825,0.040259614,812,0.03962522,844,0.041186805,20492,0.290506,0,0.054957654,2.799028033,-0.130241249
407,sample_407,830,0.040503611,1383,0.067489752,810,0.039527621,825,0.040259614,840,0.040991606,20492,0.290506,0,0.030425414,2.688701274,-0.205821318
408,sample_408,373,0.038107887,939,0.095933796,394,0.040253371,373,0.038107887,373,0.038107887,9788,0.134578,18,-0.210447697,5.611735329,-0.130885754
409,sample_409,400,0.040866367,949,0.096955456,397,0.040559869,388,0.039640376,373,0.038107887,9788,0.134578,18,0.066897947,5.716725481,-0.099239109
410,sample_410,955,0.039958159,1532,0.064100418,952,0.039832636,957,0.040041841,957,0.040041841,23900,0.339961,0,-0.024415947,2.340398562,-0.174327725
411,sample_411,418,0.041093197,953,0.093688557,383,0.037652379,417,0.040994888,392,0.038537161,10172,0.140137,18,0.089704103,5.381004709,-0.399444597
412,sample_412,393,0.03863547,977,0.096047975,391,0.038438852,381,0.037455761,381,0.037455761,10172,0.140137,18,-0.157402984,5.623468794,-0.318239365
413,sample_413,490,0.03912488,1080,0.08623443,488,0.038965187,478,0.03816672,507,0.040482274,12524,0.174346,18,-0.108196237,4.614986116,-0.263893976
414,sample_414,506,0.040402427,1053,0.084078569,499,0.0398435,501,0.040003194,480,0.038326413,12524,0.174346,18,0.020252095,4.393440463,-0.173205939
415,sample_415,373,0.04070275,917,0.100065474,346,0.037756438,363,0.039611523,370,0.040375382,9164,0.12515,18,0.050447405,6.036324488,-0.388700234
416,sample_416,338,0.036883457,948,0.103448276,358,0.03906591,364,0.039720646,363,0.039611523,9164,0.12515,18,-0.333555499,6.383956003,-0.253494054
417,sample_417,562,0.040665702,1116,0.080752533,556,0.040231548,543,0.039290883,551,0.039869754,13820,0.193092,18,0.04672249,4.051642438,-0.133139031
418,sample_418,552,0.039942113,1134,0.082054993,538,0.038929088,544,0.039363242,561,0.040593343,13820,0.193092,18,-0.02602927,4.185488929,-0.267621241
419,sample_419,1247,0.04098199,1818,0.059747601,1224,0.040226108,1264,0.041540686,1240,0.040751939,30428,0.435577,0,0.078523052,1.89308405,-0.133700823
420,sample_420,1104,0.041004308,1656,0.061506463,1092,0.040558609,1079,0.040075769,1088,0.040410043,26924,0.383995,0,0.080766984,2.073832354,-0.099369187
422,sample_422,1345,0.041151634,1924,0.058866724,1340,0.040998654,1331,0.04072329,1351,0.04133521,32684,0.468358,0,0.095579512,1.802561276,-0.053933529
423,sample_423,388,0.041259039,937,0.099638452,354,0.037643556,356,0.037856231,384,0.040833688,9404,0.128981,18,0.106378314,5.992441858,-0.400355608
424,sample_424,383,0.04072735,953,0.101339855,370,0.03934496,372,0.039557635,368,0.039132284,9404,0.128981,18,0.052920779,6.167285519,-0.224681508
425,sample_425,1338,0.041301395,1896,0.058525744,1319,0.040714903,1335,0.041208791,1337,0.041270527,32396,0.464153,0,0.110636963,1.767520699,-0.083231484
426,sample_426,673,0.0396162,1237,0.072816105,700,0.041205557,683,0.04020485,671,0.03949847,16988,0.239514,18,-0.05879754,3.236060578,-0.032570277
427,sample_427,667,0.039263009,1248,0.073463621,687,0.040440311,689,0.040558041,703,0.041382152,16988,0.239514,18,-0.094308347,3.302602135,-0.111583809
428,sample_428,1212,0.040470148,1812,0.060504875,1229,0.041037799,1237,0.041304929,1239,0.041371711,29948,0.428354,0,0.027060955,1.970904852,-0.049891704
429,sample_429,935,0.040005134,1534,0.065634092,953,0.040775287,958,0.040989218,964,0.041245935,23372,0.332421,0,-0.019692907,2.498005557,-0.07699673
430,sample_430,719,0.039323999,1292,0.070662875,740,0.040472544,725,0.039652155,743,0.040636622,18284,0.257989,0,-0.088176239,3.014785186,-0.108255622
431,sample_431,390,0.03798208,996,0.09700039,424,0.041293339,415,0.040416829,399,0.03885859,10268,0.141739,18,-0.223096697,5.721343085,-0.023506605
432,sample_432,395,0.03846903,976,0.095052591,384,0.037397741,421,0.041001169,388,0.0377873,10268,0.141739,18,-0.174137342,5.521178766,-0.425736649
433,sample_433,1069,0.040133654,1651,0.061983781,1076,0.040396456,1089,0.040884517,1094,0.041072233,26636,0.380414,0,-0.006771194,2.122883707,-0.116111933
434,sample_434,757,0.039435299,1336,0.069597833,777,0.040477183,796,0.041466972,767,0.039956241,19196,0.271779,0,-0.076985821,2.905336849,-0.107776691
435,sample_435,759,0.039539487,1359,0.070795999,762,0.03969577,762,0.03969577,794,0.041362784,19196,0.271779,0,-0.066510417,3.028465642,-0.188459478
436,sample_436,773,0.040268806,1343,0.069962492,782,0.040737654,758,0.039487393,777,0.040477183,19196,0.271833,0,0.006817414,2.94281083,-0.080882429
437,sample_437,308,0.040377556,847,0.11103828,301,0.039459885,275,0.03605139,279,0.036575773,7628,0.102862,18,0.017751495,7.163937932,-0.212815216
438,sample_438,293,0.038411117,871,0.114184583,308,0.040377556,308,0.040377556,282,0.036969061,7628,0.102862,18,-0.179960091,7.48726576,-0.118063359
439,sample_439,1358,0.0414277,1914,0.058389262,1348,0.041122636,1324,0.040390482,1322,0.040329469,32780,0.46954,0,0.123335996,1.753495195,-0.041132085
440,sample_440,1433,0.041239784,1987,0.057183147,1426,0.041038333,1406,0.04046276,1434,0.041268562,34748,0.498197,0,0.104442347,1.629549608,-0.049836537
441,sample_441,621,0.038978157,1202,0.075445644,635,0.039856892,635,0.039856892,654,0.04104946,15932,0.223745,18,-0.122948204,3.506283423,-0.171823253
442,sample_442,656,0.041174994,1201,0.075382877,634,0.039794125,625,0.039229224,643,0.040359026,15932,0.223745,18,0.097928185,3.499833237,-0.178304075
444,sample_444,877,0.039899909,1453,0.066105551,899,0.040900819,906,0.04121929,906,0.04121929,21980,0.31204,0,-0.030272571,2.546454681,-0.064035217
445,sample_445,888,0.040400364,1469,0.066833485,880,0.040036397,903,0.041082803,887,0.040354868,21980,0.31204,0,0.020044638,2.621260403,-0.153288929
446,sample_446,1040,0.041041831,1615,0.063733228,1032,0.040726125,1047,0.041318074,1020,0.040252565,25340,0.361437,0,0.084539624,2.302664484,-0.082072824
447,sample_447,939,0.04050906,1528,0.065918896,923,0.039818809,958,0.041328732,944,0.040724763,23180,0.329759,0,0.030973209,2.527273209,-0.175755362
448,sample_448,1185,0.040278722,1756,0.059687288,1217,0.041366417,1195,0.040618627,1184,0.040244731,29420,0.420901,0,0.007814394,1.886885989,-0.015961032
449,sample_449,1226,0.040872116,1793,0.059774637,1214,0.040472063,1233,0.041105481,1222,0.040738765,29996,0.429318,0,0.067475999,1.895862359,-0.108305324
450,sample_450,993,0.04009853,1570,0.063398482,990,0.039977387,1024,0.041350347,993,0.04009853,24764,0.352757,0,-0.010302622,2.268264481,-0.159381876
451,sample_451,1142,0.041382809,1714,0.062110451,1136,0.041165386,1126,0.040803015,1138,0.041237861,27596,0.394105,0,0.118822552,2.135900811,-0.036717988
452,sample_452,1128,0.040875489,1717,0.062219162,1117,0.040476881,1123,0.040694304,1142,0.041382809,27596,0.394105,0,0.067815122,2.147072469,-0.107807877
453,sample_453,563,0.040597058,1126,0.081194116,549,0.03958754,562,0.04052495,558,0.040236516,13868,0.193717,18,0.03982083,4.097021473,-0.199634521
454,sample_454,1257,0.041310635,1797,0.059057447,1264,0.041540686,1260,0.041409228,1234,0.040554752,30428,0.435073,0,0.11156595,1.822160835,0.002032649
455,sample_455,543,0.039154889,1116,0.080473031,556,0.040092299,553,0.039875973,553,0.039875973,13868,0.194014,18,-0.105179072,4.022919683,-0.147516901
456,sample_456,410,0.039560015,970,0.093593207,398,0.038402161,417,0.04023543,401,0.038691625,10364,0.142482,18,-0.064446467,5.371206172,-0.322027741
457,sample_457,391,0.037726746,974,0.093979159,421,0.040621382,398,0.038402161,409,0.039463528,10364,0.142482,18,-0.248768708,5.410868218,-0.092887795
458,sample_458,1427,0.04135273,1994,0.057783702,1407,0.040773154,1407,0.040773154,1408,0.040802133,34508,0.494606,0,0.115798291,1.691265269,-0.077216928
459,sample_459,1105,0.04067884,1697,0.06247239,1107,0.040752466,1114,0.041010161,1122,0.041304668,27164,0.388056,0,0.048043398,2.173095255,-0.079352969
460,sample_460,290,0.03685816,864,0.109811896,312,0.039654296,321,0.04079817,291,0.036985257,7868,0.106541,18,-0.336098971,7.037909392,-0.192741778
461,sample_461,323,0.041052364,887,0.11273513,286,0.036349771,324,0.041179461,303,0.038510422,7868,0.106541,18,0.085598633,7.3383136,-0.533942052
462,sample_462,302,0.038383325,864,0.109811896,320,0.040671073,310,0.039400102,305,0.038764616,7868,0.106541,18,-0.182754388,7.037909392,-0.087757078
463,sample_463,840,0.041281698,1413,0.069441714,836,0.041085119,836,0.041085119,824,0.04049538,20348,0.288219,0,0.10865659,2.88929341,-0.045005789
464,sample_464,621,0.041213167,1193,0.079174409,611,0.040549509,597,0.039620388,596,0.039554022,15068,0.211113,18,0.101766235,3.889467613,-0.100308839
465,sample_465,608,0.040350411,1182,0.078444385,585,0.038823998,615,0.040814972,585,0.038823998,15068,0.211113,18,0.015022267,3.814447174,-0.278472083
466,sample_466,306,0.039130435,871,0.111381074,315,0.04028133,317,0.040537084,300,0.038363171,7820,0.105772,18,-0.107637766,7.199164954,-0.127998975
467,sample_467,287,0.036700767,882,0.112787724,308,0.039386189,295,0.037723785,291,0.037212276,7820,0.105772,18,-0.351923661,7.343718404,-0.220424444
468,sample_468,317,0.037119438,907,0.106206089,348,0.040749415,318,0.037236534,348,0.040749415,8540,0.115932,18,-0.309829284,6.667360908,-0.079668093
469,sample_469,329,0.03852459,899,0.105269321,329,0.03852459,348,0.040749415,352,0.041217799,8540,0.115932,18,-0.16855116,6.571094527,-0.309386664
470,sample_470,325,0.038056206,910,0.106557377,332,0.038875878,352,0.041217799,351,0.041100703,8540,0.115932,18,-0.215643868,6.7034608,-0.27311531
471,sample_471,770,0.040112523,1366,0.071160658,786,0.04094603,763,0.039747864,773,0.040268806,19196,0.271843,0,-0.008895693,3.065939623,-0.059367019
472,sample_472,1238,0.04036781,1843,0.060095213,1264,0.041215599,1253,0.040856919,1250,0.040759097,30668,0.438889,0,0.016771576,1.928806212,-0.031533369
473,sample_473,950,0.041239799,1499,0.065072061,916,0.039763848,916,0.039763848,955,0.04145685,23036,0.32763,0,0.104443854,2.440248805,-0.181430264
474,sample_474,936,0.040632054,1520,0.065983678,941,0.040849106,939,0.040762285,918,0.039850669,23036,0.32763,0,0.043339451,2.533930503,-0.069374729
475,sample_475,1296,0.041101104,1882,0.059685399,1275,0.040435114,1278,0.040530255,1298,0.041164531,31532,0.451734,0,0.090499059,1.886691908,-0.11212044
476,sample_476,464,0.039631022,1044,0.089169798,477,0.040741373,469,0.04005808,476,0.040655962,11708,0.162466,18,-0.057307307,4.916637389,-0.080498356
477,sample_477,1325,0.041205374,1877,0.058371688,1314,0.040863291,1305,0.040583406,1299,0.040396816,32156,0.460805,0,0.100982687,1.751689243,-0.06791002
478,sample_478,532,0.041062056,1083,0.083590614,510,0.039364001,506,0.039055264,511,0.039441186,12956,0.180827,18,0.086573114,4.343296104,-0.222715412
479,sample_479,509,0.039286817,1076,0.083050324,535,0.041293609,529,0.040830503,534,0.041216425,12956,0.180827,18,-0.091914647,4.287773525,-0.023478664
480,sample_480,858,0.039996271,1428,0.06656722,868,0.040462428,885,0.041254895,860,0.040089502,21452,0.304441,0,-0.02058408,2.593897836,-0.109300181
484,sample_484,738,0.040683572,1302,0.071775083,714,0.039360529,715,0.039415656,729,0.040187431,18140,0.256468,0,0.048519225,3.129080535,-0.223073906
486,sample_486,1056,0.040521873,1643,0.063046815,1074,0.041212586,1076,0.041289332,1070,0.041059094,26060,0.371505,0,0.032261472,2.232125685,-0.031844467
487,sample_487,1058,0.04044961,1643,0.062815415,1050,0.040143753,1072,0.04098486,1083,0.041405414,26156,0.373276,0,0.024995982,2.208346028,-0.142204144
488,sample_488,477,0.040575026,1049,0.089231031,463,0.039384144,469,0.039894522,477,0.040575026,11756,0.163046,18,0.037605622,4.922929911,-0.220635595
489,sample_489,680,0.040370458,1248,0.074091665,671,0.039836143,680,0.040370458,678,0.040251722,16844,0.237238,18,0.017037837,3.367142605,-0.173965572
490,sample_490,663,0.039361197,1251,0.07426977,667,0.03959867,671,0.039836143,681,0.040429827,16844,0.237238,18,-0.084436269,3.385445448,-0.198485271
491,sample_491,921,0.039814975,1528,0.06605568,959,0.041457721,932,0.040290507,926,0.040031126,23132,0.329228,0,-0.038812093,2.541329816,-0.006533722
492,sample_492,1154,0.04103257,1727,0.061406628,1135,0.04035699,1168,0.041530366,1144,0.040677002,28124,0.401569,0,0.083608491,2.06357289,-0.120186838
493,sample_493,815,0.039678676,1404,0.06835443,820,0.039922103,826,0.040214216,845,0.041139241,20540,0.291337,0,-0.052516011,2.777559385,-0.165090014
494,sample_494,925,0.040577294,1489,0.065318477,914,0.040094753,928,0.040708896,923,0.04048956,22796,0.323838,0,0.037833728,2.465571568,-0.147263452
495,sample_495,942,0.041323039,1492,0.065450079,934,0.0409721,906,0.039743815,922,0.040445692,22796,0.323838,0,0.112813104,2.479095567,-0.056675233
496,sample_496,821,0.040829521,1386,0.06892779,831,0.041326835,832,0.041376567,813,0.040431669,20108,0.285098,0,0.063193303,2.836480314,-0.020048003
497,sample_497,617,0.039683561,1199,0.077116028,631,0.040583998,638,0.041034217,622,0.040005145,15548,0.218621,18,-0.052024876,3.677939347,-0.09674776
498,sample_498,641,0.041227167,1206,0.077566246,640,0.041162851,607,0.039040391,636,0.040905583,15548,0.218621,18,0.103173887,3.724205782,-0.036979811
499,sample_499,1103,0.041113762,1675,0.06243477,1090,0.040629193,1114,0.041523781,1101,0.041039213,26828,0.382699,0,0.091771742,2.169229231,-0.09208122
500,sample_500,358,0.040774487,930,0.105922551,339,0.038610478,342,0.038952164,325,0.037015945,8780,0.120002,18,0.057660112,6.638223333,-0.300518497
501,sample_501,355,0.040432802,906,0.103189066,324,0.03690205,340,0.038724374,349,0.039749431,8780,0.120002,18,0.023306035,6.357318473,-0.476917903
502,sample_502,1334,0.040576712,1925,0.058553352,1346,0.04094172,1337,0.040667964,1352,0.041124224,32876,0.470884,0,0.037775236,1.770357824,-0.059812039
503,sample_503,1021,0.041229204,1583,0.063923437,1027,0.041471491,994,0.040138911,997,0.040260055,24764,0.352499,0,0.103378613,2.322211206,-0.005111939
504,sample_504,413,0.040410959,983,0.096183953,404,0.039530333,414,0.040508806,413,0.040410959,10220,0.140927,18,0.021109884,5.637442507,-0.205541282
505,sample_505,410,0.040117417,971,0.095009785,395,0.038649706,393,0.038454012,414,0.040508806,10220,0.140927,18,-0.008403697,5.516779852,-0.296468099
506,sample_506,1004,0.040859515,1575,0.064097347,988,0.040208367,1019,0.041469966,994,0.040452548,24572,0.350202,0,0.066209018,2.340082887,-0.135532551
507,sample_507,719,0.040060174,1277,0.071149989,741,0.041285937,731,0.040728772,730,0.040673055,17948,0.253259,0,-0.014159075,3.064843167,-0.024270816
508,sample_508,725,0.040394473,1284,0.071540004,722,0.040227323,712,0.039670158,741,0.041285937,17948,0.253259,0,0.019452335,3.104922871,-0.133575284
509,sample_509,1366,0.040601593,1963,0.058346213,1390,0.041314945,1385,0.04116633,1389,0.041285222,33644,0.482024,0,0.04027681,1.749071348,-0.021275713
510,sample_510,911,0.041356455,1483,0.067323407,875,0.039722172,894,0.04058471,889,0.040357727,22028,0.313104,0,0.116172876,2.671606882,-0.185733425
511,sample_511,1092,0.040703742,1686,0.062844789,1074,0.040032802,1084,0.040405546,1076,0.040107351,26828,0.382702,0,0.050547191,2.211364611,-0.153660139
512,sample_512,1078,0.040110135,1678,0.062434886,1111,0.041337997,1106,0.041151957,1090,0.04055663,26876,0.383429,0,-0.00913579,2.169241203,-0.018895537
513,sample_513,1083,0.040296175,1667,0.062025599,1076,0.04003572,1097,0.040817086,1093,0.040668254,26876,0.383429,0,0.009569176,2.127181076,-0.153358843
514,sample_514,435,0.038908766,1000,0.089445438,439,0.039266547,435,0.038908766,452,0.040429338,11180,0.154648,18,-0.12992503,4.944963342,-0.232777759
515,sample_515,584,0.039006145,1156,0.077210793,584,0.039006145,596,0.039807641,606,0.040475554,14972,0.209695,18,-0.120134245,3.687677883,-0.259664966
516,sample_516,1344,0.04094066,1900,0.057877422,1356,0.041306202,1337,0.040727428,1351,0.041153893,32828,0.470339,0,0.074367626,1.700896281,-0.022178418
517,sample_517,434,0.037844437,1046,0.091210324,469,0.040896407,435,0.037931636,444,0.038716428,11468,0.159099,18,-0.236935784,5.126330735,-0.064490718
518,sample_518,454,0.03958842,1019,0.088855947,473,0.041245204,463,0.040373212,468,0.040809208,11468,0.159099,18,-0.061590594,4.884384645,-0.028476609
519,sample_519,1244,0.040819005,1805,0.059226933,1226,0.040228376,1235,0.040523691,1235,0.040523691,30476,0.436288,0,0.062136047,1.839577913,-0.133466554
520,sample_520,1153,0.040857548,1708,0.060524451,1149,0.040715804,1151,0.040786676,1170,0.041459957,28220,0.403494,0,0.066011245,1.972916529,-0.083138421
521,sample_521,1194,0.041326319,1752,0.060639623,1197,0.041430154,1174,0.040634086,1199,0.041499377,28892,0.413353,0,0.113142842,1.984752176,-0.009380106
522,sample_522,1191,0.041222484,1735,0.060051225,1181,0.040876367,1169,0.040461027,1164,0.040287969,28892,0.413353,0,0.102702969,1.924285814,-0.066559921
523,sample_523,805,0.039749161,1373,0.067795773,810,0.03999605,823,0.040637962,801,0.039551649,20252,0.286999,0,-0.04542926,2.720149343,-0.157454851
524,sample_524,823,0.040637962,1402,0.069227731,805,0.039749161,833,0.04113174,829,0.040934229,20252,0.286999,0,0.043933409,2.867303524,-0.182946765
525,sample_525,380,0.040408337,948,0.100808167,381,0.040514675,362,0.038494258,358,0.038068907,9404,0.128627,18,0.020846258,6.112646875,-0.103905565
526,sample_526,371,0.039451297,921,0.097937048,386,0.041046363,383,0.04072735,378,0.040195661,9404,0.128627,18,-0.075377305,5.817598198,-0.049007408
527,sample_527,372,0.04038211,948,0.102909249,375,0.040707772,360,0.039079462,340,0.03690838,9212,0.126343,18,0.01820936,6.328563232,-0.083967737
528,sample_528,353,0.038319583,920,0.099869735,370,0.040165002,378,0.041033435,341,0.037016934,9212,0.126343,18,-0.189163166,6.01620955,-0.140010101
529,sample_529,948,0.039986502,1547,0.065252236,974,0.041083179,965,0.04070356,958,0.040408301,23708,0.337309,0,-0.021566213,2.458764313,-0.045206126
530,sample_530,1248,0.041539076,1817,0.060477966,1214,0.040407402,1245,0.041439222,1214,0.040407402,30044,0.429863,0,0.134534086,1.968139518,-0.114981675
531,sample_531,325,0.038488868,889,0.105281857,346,0.040975841,309,0.036594031,333,0.039436286,8444,0.114679,18,-0.172142788,6.572382791,-0.056289021
532,sample_532,315,0.037304595,893,0.105755566,336,0.039791568,327,0.038725722,342,0.040502132,8444,0.114679,18,-0.291213053,6.621063209,-0.178568097
535,sample_535,952,0.040400611,1540,0.06535393,965,0.0409523,951,0.040358173,946,0.040145985,23564,0.334997,0,0.020069485,2.469214852,-0.058719657
536,sample_536,372,0.039965621,944,0.101418135,368,0.039535883,368,0.039535883,351,0.037709497,9308,0.127616,18,-0.023665698,6.175329867,-0.204968187
537,sample_537,350,0.037602063,954,0.10249248,363,0.038998711,381,0.040932531,371,0.039858187,9308,0.127616,18,-0.261304772,6.285734209,-0.260432547
538,sample_538,879,0.040254625,1441,0.06599194,879,0.040254625,891,0.040804177,901,0.041262136,21836,0.309984,0,0.005391654,2.534779562,-0.130756284
539,sample_539,886,0.040575197,1446,0.06622092,886,0.040575197,897,0.041078952,873,0.03997985,21836,0.309984,0,0.037622856,2.558310511,-0.097656487
540,sample_540,1007,0.039966661,1605,0.063700587,1032,0.040958882,1027,0.040760438,1016,0.040323861,25196,0.359002,0,-0.023561092,2.299310183,-0.058040025
541,sample_541,1231,0.040907882,1803,0.059916257,1212,0.040276485,1242,0.041273428,1221,0.040575568,30092,0.430798,0,0.071072038,1.910415868,-0.12849918
542,sample_542,1398,0.040625363,1997,0.058032082,1390,0.040392886,1401,0.040712542,1403,0.040770661,34412,0.493664,0,0.042666725,1.71678983,-0.116480516
543,sample_543,462,0.039139275,1030,0.087258556,449,0.038037953,460,0.038969841,484,0.04100305,11804,0.163801,18,-0.106748962,4.720229824,-0.35963312
544,sample_544,915,0.040479561,1498,0.066271456,905,0.040037162,926,0.040966201,915,0.040479561,22604,0.321223,0,0.028007354,2.563503893,-0.153209957
545,sample_545,903,0.039948682,1477,0.065342417,923,0.040833481,918,0.040612281,930,0.041143161,22604,0.321223,0,-0.025368827,2.468031782,-0.070988043
546,sample_546,407,0.038910134,1001,0.095697897,428,0.040917782,408,0.039005736,428,0.040917782,10460,0.144007,18,-0.129787468,5.587493243,-0.062283735
547,sample_547,744,0.041232543,1315,0.072877411,727,0.040290401,709,0.03929284,710,0.03934826,18044,0.254543,0,0.103714325,3.242360577,-0.12706234
548,sample_548,962,0.040991989,1518,0.064683825,936,0.039884097,953,0.040608488,946,0.04031021,23468,0.333713,0,0.079528362,2.400351946,-0.169014198
549,sample_549,962,0.040991989,1543,0.065749105,956,0.040736322,967,0.041205045,940,0.040054542,23468,0.333713,0,0.079528362,2.509824804,-0.081019948
550,sample_550,1282,0.041413619,1847,0.059665331,1249,0.04034759,1273,0.041122884,1262,0.040767541,30956,0.443448,0,0.121920303,1.884629682,-0.121157447
552,sample_552,1398,0.04149353,1958,0.058114686,1396,0.041434168,1367,0.04057343,1371,0.040692152,33692,0.482834,0,0.129954718,1.725278592,-0.008965581
553,sample_553,1372,0.040955224,1947,0.058119403,1378,0.041134328,1368,0.040835821,1379,0.041164179,33500,0.479911,0,0.07583188,1.725763332,-0.039924795
554,sample_554,1245,0.040406335,1831,0.059424899,1258,0.040828249,1264,0.041022978,1266,0.041087888,30812,0.440721,0,0.020645002,1.859921836,-0.071528267
555,sample_555,573,0.038894923,1144,0.077654086,609,0.041338583,597,0.040524029,579,0.039302199,14732,0.206857,18,-0.131316849,3.733232591,-0.018835036
556,sample_556,585,0.039709476,1145,0.077721966,581,0.039437958,583,0.039573717,599,0.040659788,14732,0.206857,18,-0.049419267,3.740208179,-0.215079175
560,sample_560,503,0.039407709,1062,0.083202758,492,0.03854591,523,0.040974616,522,0.040896271,12764,0.178036,18,-0.079759785,4.303438265,-0.3071853
561,sample_561,497,0.038937637,1078,0.084456283,494,0.038702601,505,0.0395644,518,0.040582889,12764,0.178036,18,-0.127022209,4.432256017,-0.291006601
562,sample_562,487,0.039490756,1082,0.087739215,480,0.038923127,488,0.039571846,471,0.038193318,12332,0.171633,18,-0.071410038,4.769624401,-0.268236776
563,sample_563,618,0.040754418,1169,0.077090477,605,0.039897125,603,0.039765233,623,0.041084147,15164,0.212873,18,0.055642304,3.675313683,-0.1676691
564,sample_564,603,0.039765233,1169,0.077090477,606,0.03996307,597,0.039369559,624,0.041150092,15164,0.212873,18,-0.043813247,3.675313683,-0.160860049
565,sample_565,323,0.038915663,874,0.105301205,314,0.037831325,334,0.040240964,341,0.041084337,8300,0.112728,18,-0.129231586,6.574371064,-0.380967961
566,sample_566,310,0.037349398,883,0.106385542,321,0.038674699,304,0.036626506,323,0.038915663,8300,0.112728,18,-0.286708467,6.685802299,-0.293887579
567,sample_567,1072,0.040173887,1666,0.062434418,1108,0.04152301,1099,0.041185729,1108,0.04152301,26684,0.38055,0,-0.002726023,2.169193056,0.000207542
568,sample_568,417,0.041189253,951,0.093935203,408,0.040300277,411,0.040596602,400,0.039510075,10124,0.13942,18,0.09936188,5.406351195,-0.126042688
569,sample_569,385,0.038028447,971,0.095910707,412,0.040695377,385,0.038028447,383,0.037830897,10124,0.13942,18,-0.218434823,5.609362576,-0.085247566
570,sample_570,1025,0.040373405,1608,0.06333701,1031,0.040609737,1029,0.04053096,1048,0.041279345,25388,0.361723,0,0.01733408,2.261947345,-0.094090151
571,sample_571,1116,0.041229496,1688,0.06236146,1092,0.04034284,1103,0.040749224,1101,0.040675336,27068,0.386336,0,0.103408012,2.161695615,-0.121647883
572,sample_572,1086,0.040121176,1660,0.061327028,1084,0.040047288,1107,0.040897,1122,0.04145116,27068,0.386336,0,-0.008025709,2.055392891,-0.152164346
573,sample_573,1343,0.040378833,1931,0.058057727,1381,0.041521347,1342,0.040348767,1346,0.040469032,33260,0.476463,0,0.017879895,1.719425239,3.58E-05
574,sample_574,1279,0.04093586,1848,0.059147356,1293,0.041383946,1297,0.04151197,1289,0.041255921,31244,0.447053,0,0.073884947,1.831400297,-0.014151191
575,sample_575,985,0.041130783,1551,0.064765325,982,0.041005512,980,0.040921998,965,0.040295641,23948,0.341083,0,0.093483145,2.40872725,-0.053225406
576,sample_576,1361,0.041038475,1940,0.058497166,1341,0.040435412,1339,0.040375106,1367,0.041219395,33164,0.475627,0,0.084202238,1.764583866,-0.112089634
577,sample_577,488,0.038816417,1084,0.086223353,485,0.038577792,482,0.038339166,509,0.040486796,12572,0.175331,18,-0.13920999,4.613847856,-0.303893452
578,sample_578,873,0.041063029,1427,0.067121355,866,0.040733772,875,0.041157103,852,0.040075259,21260,0.301542,0,0.086670939,2.650843146,-0.081283186
579,sample_579,976,0.040592248,1559,0.064839461,988,0.041091333,969,0.040301115,972,0.040425886,24044,0.342376,0,0.039337175,2.416345801,-0.044364217
580,sample_580,979,0.040717019,1564,0.065047413,969,0.040301115,969,0.040301115,980,0.040758609,24044,0.342376,0,0.051882043,2.437715864,-0.125956157
581,sample_581,664,0.039420565,1260,0.074804085,671,0.039836143,668,0.039658038,670,0.039776775,16844,0.237558,18,-0.078467204,3.440353976,-0.173965572
582,sample_582,570,0.039332045,1136,0.078388076,566,0.039056031,595,0.041057135,588,0.04057411,14492,0.202685,18,-0.087367257,3.808660588,-0.254514103
583,sample_583,338,0.036883457,936,0.102138804,367,0.040048014,344,0.037538193,361,0.039393278,9164,0.125029,18,-0.333555499,6.249388965,-0.15208942
584,sample_584,360,0.039284155,933,0.101811436,367,0.040048014,369,0.040266259,372,0.040593627,9164,0.125029,18,-0.092182245,6.215747205,-0.15208942
585,sample_585,338,0.03913849,911,0.105488652,330,0.038212135,336,0.038906901,328,0.037980547,8636,0.11764,18,-0.106827866,6.593633969,-0.3416484
586,sample_586,336,0.038906901,904,0.104678092,318,0.036822603,356,0.041222788,323,0.037401575,8636,0.11764,18,-0.130112473,6.510337243,-0.485121006
587,sample_587,321,0.037169986,922,0.10676239,341,0.039485873,336,0.038906901,344,0.039833256,8636,0.11764,18,-0.304747023,6.724528825,-0.210131844
588,sample_588,1172,0.041250176,1747,0.061488104,1177,0.041426158,1158,0.040757426,1162,0.040898212,28412,0.405689,0,0.105487229,2.071945701,-0.009792673
