Supplementary_Table1:  Summary of population data (MS+Seq-Gen+ART),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,sample,chr13_count,chr13_prob,chr18_count,chr18_prob,chr21_count,chr21_prob,chrX_count,chrX_prob,chrY_count,chrY_prob,total,coverage,trisomy,Z_score_CHR13,Z_score_CHR18,Z_score_CHR21
417,sample_417,1115,0.040830526,1697,0.062142962,1095,0.04009814,1121,0.041050242,1125,0.041196719,27308,0.390205,0,0.066035569,2.165082988,-0.165205507
418,sample_418,844,0.041478278,1416,0.069589149,819,0.040249656,810,0.039807352,838,0.041183409,20348,0.288485,0,0.131890806,2.940646684,-0.149361499
419,sample_419,484,0.0386458,1057,0.084397956,514,0.041041201,497,0.039683807,484,0.0386458,12524,0.174605,18,-0.156079701,4.483070089,-0.066589889
422,sample_422,634,0.041416253,1167,0.076234649,613,0.040044421,608,0.039717795,614,0.040109747,15308,0.215005,18,0.125584886,3.632814139,-0.170822836
423,sample_423,344,0.038547736,922,0.103316898,363,0.040676827,342,0.038323622,359,0.040228597,8924,0.121657,18,-0.166049569,6.453587986,-0.104692405
424,sample_424,349,0.039108023,919,0.102980726,353,0.039556253,333,0.037315105,343,0.038435679,8924,0.121657,18,-0.109086691,6.418573704,-0.221870459
427,sample_427,616,0.039016975,1191,0.075437041,646,0.040917152,619,0.039206993,625,0.039587028,15788,0.222126,18,-0.118343339,3.549738651,-0.079561616
430,sample_430,1036,0.041433371,1592,0.063669813,1010,0.040393537,1025,0.040993441,999,0.039953607,25004,0.356419,0,0.127325199,2.324113408,-0.134315901
431,sample_431,538,0.040622169,1119,0.08449109,534,0.040320145,533,0.040244639,546,0.041226216,13244,0.184824,18,0.044852433,4.492770577,-0.141990487
432,sample_432,547,0.041301722,1097,0.082829961,521,0.039338568,533,0.040244639,529,0.039942616,13244,0.184824,18,0.113940782,4.319754269,-0.24463365
433,sample_433,346,0.04074423,893,0.105157796,315,0.037093735,330,0.038860104,350,0.041215261,8492,0.115298,18,0.057262085,6.64532815,-0.479375167
434,sample_434,320,0.037682525,882,0.103862459,322,0.037918041,345,0.040626472,329,0.038742346,8492,0.115298,18,-0.254013346,6.510411289,-0.39317782
435,sample_435,480,0.040664182,1043,0.088359878,466,0.039478143,454,0.038461538,464,0.039308709,11804,0.163813,18,0.049123794,4.895727321,-0.230038377
436,sample_436,449,0.038037953,1036,0.087766859,465,0.039393426,473,0.040071162,478,0.040494748,11804,0.163813,18,-0.217877874,4.833960909,-0.238897212
437,sample_437,769,0.040160852,1330,0.069458951,777,0.040578651,772,0.040317527,764,0.039899728,19148,0.270641,0,-0.002048362,2.927085858,-0.114958641
438,sample_438,778,0.040835608,1339,0.070281335,762,0.039995801,780,0.040940584,773,0.040573168,19052,0.269629,0,0.066552238,3.012741932,-0.175907041
439,sample_439,751,0.039418434,1323,0.069441528,754,0.039575898,767,0.040258241,780,0.040940584,19052,0.269629,0,-0.077528085,2.925271164,-0.219816214
440,sample_440,803,0.04081114,1359,0.069068916,802,0.040760317,816,0.041471844,800,0.04065867,19676,0.278697,0,0.064064709,2.886461457,-0.095961818
441,sample_441,559,0.038830231,1162,0.080716866,557,0.038691303,566,0.039316477,575,0.03994165,14396,0.201486,18,-0.137329136,4.099663139,-0.312317982
442,sample_442,578,0.040150042,1162,0.080716866,590,0.040983607,576,0.040011114,574,0.039872187,14396,0.201486,18,-0.00314745,4.099663139,-0.072612511
443,sample_443,1377,0.041104478,1958,0.058447761,1381,0.041223881,1390,0.041492537,1370,0.040895522,33500,0.480107,0,0.093887516,1.780206353,-0.047487128
444,sample_444,999,0.039953607,1576,0.063029915,999,0.039953607,1028,0.041113422,1027,0.041073428,25004,0.356019,0,-0.023118399,2.257464349,-0.180319207
445,sample_445,1245,0.041505534,1815,0.060508068,1239,0.041305507,1235,0.041172156,1243,0.041438859,29996,0.429298,0,0.134661862,1.994799265,-0.038951438
446,sample_446,488,0.038376848,1062,0.083516829,503,0.039556464,507,0.039871029,490,0.03853413,12716,0.176843,18,-0.183423336,4.391295614,-0.221848343
447,sample_447,398,0.039127015,985,0.096834448,395,0.038832088,381,0.037455761,401,0.039421943,10172,0.140014,18,-0.107155822,5.778403031,-0.297596143
448,sample_448,416,0.040896579,957,0.094081793,400,0.039323634,386,0.037947306,399,0.039225324,10172,0.140014,18,0.072751001,5.491698069,-0.246195388
449,sample_449,863,0.041434607,1401,0.06726522,857,0.041146534,844,0.040522374,830,0.039850202,20828,0.295325,0,0.127450921,2.698595969,-0.055575289
450,sample_450,838,0.0402343,1421,0.068225466,861,0.041338583,825,0.03961014,864,0.04148262,20828,0.295325,0,0.005418868,2.798611157,-0.035492766
451,sample_451,463,0.039708405,1050,0.090051458,458,0.039279588,477,0.040909091,473,0.040566038,11660,0.161723,18,-0.048047499,5.071915215,-0.250801178
452,sample_452,1161,0.041352044,1720,0.061262288,1152,0.041031486,1146,0.04081778,1156,0.041173956,28076,0.401358,0,0.11905698,2.0733557,-0.067605776
453,sample_453,366,0.041012999,940,0.105333931,329,0.036866876,347,0.038883909,335,0.03753922,8924,0.121941,18,0.084587094,6.663673677,-0.503097789
454,sample_454,366,0.041012999,913,0.102308382,338,0.037875392,343,0.038435679,363,0.040676827,8924,0.121941,18,0.084587094,6.34854514,-0.39763754
455,sample_455,956,0.041157224,1515,0.065223007,936,0.040296194,931,0.040080937,945,0.040683658,23228,0.330109,0,0.099250106,2.485887586,-0.144495007
456,sample_456,922,0.040531036,1512,0.066467382,937,0.041190434,925,0.040662915,929,0.040838755,22748,0.323148,0,0.0355872,2.615496485,-0.050984594
457,sample_457,599,0.040266201,1164,0.078246841,587,0.039459532,585,0.039325087,594,0.039930089,14876,0.208907,18,0.008662118,3.842395641,-0.23198451
458,sample_458,828,0.039662771,1414,0.067733282,840,0.040237593,849,0.04066871,850,0.040716612,20876,0.295834,0,-0.052687002,2.747347384,-0.150622879
459,sample_459,894,0.03997496,1465,0.065507065,908,0.040600966,892,0.03988553,906,0.040511536,22364,0.317627,0,-0.020947564,2.515473901,-0.112625135
460,sample_460,901,0.040287963,1491,0.066669648,904,0.040422107,908,0.040600966,912,0.040779825,22364,0.317627,0,0.010874624,2.636563655,-0.131328353
461,sample_461,309,0.039034866,874,0.110409298,307,0.038782213,308,0.03890854,300,0.037897928,7916,0.106802,18,-0.116524391,7.192302638,-0.30281154
462,sample_462,1380,0.041371867,1927,0.057770716,1350,0.040472479,1352,0.040532438,1358,0.040712316,33356,0.477814,0,0.121072299,1.709688148,-0.126060994
463,sample_463,637,0.039624285,1220,0.075889525,641,0.039873103,633,0.039375467,632,0.039313262,16076,0.225843,18,-0.056599771,3.596867489,-0.188737555
464,sample_464,651,0.040495148,1232,0.076635979,646,0.040184125,666,0.041428216,662,0.041179398,16076,0.225843,18,0.031938598,3.67461505,-0.156214012
465,sample_465,924,0.039779576,1511,0.065050801,952,0.040985018,952,0.040985018,949,0.040855864,23228,0.330684,0,-0.040811674,2.467951334,-0.072464908
466,sample_466,895,0.040105754,1476,0.066140885,895,0.040105754,888,0.039792077,892,0.039971321,22316,0.317031,0,-0.00765009,2.581489997,-0.164409315
467,sample_467,473,0.039116771,1063,0.087909362,498,0.041184254,464,0.038372478,466,0.038537876,12092,0.16766,18,-0.108197294,4.848803412,-0.051630864
468,sample_468,475,0.03928217,1046,0.086503473,476,0.039364869,498,0.041184254,476,0.039364869,12092,0.16766,18,-0.091381656,4.702371979,-0.24188337
469,sample_469,1002,0.041261736,1578,0.064981057,987,0.040644045,981,0.040396969,989,0.040726404,24284,0.345531,0,0.109875572,2.460687167,-0.108120311
470,sample_470,1326,0.041421967,1886,0.058915407,1321,0.041265775,1327,0.041453205,1322,0.041297014,32012,0.458693,0,0.126165795,1.828914355,-0.043106208
471,sample_471,1056,0.040006062,1652,0.06258524,1082,0.040991059,1068,0.040460676,1086,0.041142597,26396,0.376932,0,-0.01778553,2.211148858,-0.071833185
472,sample_472,588,0.039654707,1184,0.079848934,594,0.040059347,603,0.040666307,609,0.041070947,14828,0.208136,18,-0.05350678,4.00926304,-0.169262033
473,sample_473,888,0.040400364,1477,0.067197452,906,0.04121929,912,0.041492266,883,0.040172884,21980,0.31237,0,0.022302152,2.691537572,-0.047967138
474,sample_474,899,0.040900819,1444,0.065696087,892,0.040582348,895,0.040718835,896,0.040764331,21980,0.31237,0,0.073182079,2.535161687,-0.114572039
475,sample_475,372,0.03935675,960,0.101565806,367,0.038827761,375,0.039674143,371,0.039250952,9452,0.129591,18,-0.083799319,6.27120156,-0.298048591
476,sample_476,453,0.040003532,1037,0.091575415,463,0.040886613,467,0.041239845,463,0.040886613,11324,0.156974,18,-0.018042668,5.230644209,-0.08275515
477,sample_477,450,0.039738608,1037,0.091575415,438,0.038678912,449,0.0396503,443,0.039120452,11324,0.156974,18,-0.044976793,5.230644209,-0.313613715
478,sample_478,1330,0.040337256,1930,0.058534514,1346,0.040822516,1350,0.040943831,1335,0.0404889,32972,0.472675,0,0.015886118,1.789242176,-0.089457694
479,sample_479,827,0.039982595,1401,0.067733514,828,0.040030942,846,0.04090118,819,0.039595823,20684,0.293532,0,-0.020171285,2.747371506,-0.172232376
480,sample_480,1149,0.041135615,1694,0.060647286,1132,0.040526994,1127,0.040347988,1159,0.041493627,27932,0.39884,0,0.097053179,2.009299684,-0.120360334
481,sample_481,1202,0.040265309,1785,0.059794989,1218,0.040801286,1225,0.041035776,1223,0.040968779,29852,0.427131,0,0.008571458,1.920527925,-0.09167768
482,sample_482,960,0.040990606,1524,0.065072588,959,0.040947908,965,0.041204099,964,0.041161401,23420,0.333167,0,0.082310525,2.470220553,-0.076345522
483,sample_483,948,0.040478224,1510,0.064474808,958,0.040905209,935,0.039923143,932,0.039795047,23420,0.333167,0,0.030217948,2.407958323,-0.080810496
484,sample_484,1417,0.040835735,2011,0.05795389,1438,0.041440922,1417,0.040835735,1409,0.040605187,34700,0.497672,0,0.066565156,1.728766846,-0.024791154
485,sample_485,427,0.041200309,999,0.096391355,409,0.039463528,422,0.04071787,403,0.038884601,10364,0.142746,18,0.103630415,5.732252337,-0.231566705
486,sample_486,357,0.040660592,915,0.104214123,336,0.038268793,327,0.037243736,347,0.03952164,8780,0.119392,18,0.048758871,6.547039163,-0.356499769
487,sample_487,1032,0.040419865,1610,0.063058123,1029,0.040302366,1046,0.040968197,1033,0.040459032,25532,0.364081,0,0.024284797,2.260402368,-0.143849664
488,sample_488,310,0.041157727,863,0.114577801,288,0.038236856,275,0.036510887,295,0.039166224,7532,0.101311,18,0.099301244,7.626476553,-0.359839373
489,sample_489,367,0.038054749,955,0.099025301,385,0.039921195,370,0.038365823,390,0.040439652,9644,0.132273,18,-0.216170286,6.006593137,-0.183708614
490,sample_490,359,0.037225218,970,0.100580672,372,0.038573206,370,0.038365823,364,0.037743675,9644,0.132273,18,-0.300506532,6.168594096,-0.324667349
491,sample_491,977,0.041377266,1533,0.064924615,944,0.039979671,949,0.040191428,947,0.040106725,23612,0.336117,0,0.121621167,2.454808312,-0.17759371
492,sample_492,955,0.040445536,1550,0.065644587,956,0.040487888,967,0.040953752,977,0.041377266,23612,0.336117,0,0.02689469,2.529797677,-0.1244497
493,sample_493,1379,0.040411441,1967,0.057642715,1414,0.041437112,1387,0.04064588,1401,0.041056148,34124,0.488996,0,0.023428287,1.696356088,-0.025189615
494,sample_494,694,0.039949344,1281,0.073739351,704,0.040524983,717,0.041273313,716,0.041215749,17372,0.24518,18,-0.023551874,3.372914351,-0.120570665
495,sample_495,423,0.038496542,991,0.090189297,448,0.040771751,451,0.041044776,438,0.039861667,10988,0.15191,18,-0.171254404,5.086271994,-0.094766182
496,sample_496,752,0.039670817,1318,0.069529437,776,0.040936907,779,0.041095168,770,0.040620384,18956,0.268119,0,-0.051868989,2.934427309,-0.07749592
498,sample_498,947,0.040685685,1533,0.065861832,936,0.040213095,935,0.040170132,951,0.040857536,23276,0.331008,0,0.051309966,2.552424948,-0.153184667
499,sample_499,796,0.039586234,1373,0.068281281,832,0.041376567,796,0.039586234,828,0.041177641,20108,0.285059,0,-0.060468246,2.804424652,-0.031520805
500,sample_500,1106,0.041225585,1648,0.061428358,1098,0.040927389,1113,0.041486507,1090,0.040629193,26828,0.382707,0,0.106200204,2.090652894,-0.078491133
501,sample_501,1262,0.040453904,1847,0.059206309,1290,0.041351455,1291,0.041383511,1274,0.040838569,31196,0.446535,0,0.02774546,1.859213467,-0.034146678
502,sample_502,345,0.03706489,949,0.101955307,377,0.040502793,376,0.040395359,377,0.040502793,9308,0.12773,18,-0.316806586,6.311770364,-0.122891007
503,sample_503,365,0.03921358,941,0.101095832,357,0.038354104,352,0.037816932,378,0.040610228,9308,0.12773,18,-0.098355051,6.222250968,-0.347578794
504,sample_504,948,0.041498862,1493,0.06535633,917,0.040141832,916,0.040098056,933,0.040842234,22844,0.324811,0,0.133983514,2.49977397,-0.160636667
505,sample_505,849,0.040951187,1408,0.067914335,838,0.040420606,838,0.040420606,860,0.041481767,20732,0.294252,0,0.078302823,2.766205117,-0.131485326
506,sample_506,821,0.039600617,1413,0.068155508,822,0.039648852,825,0.039793556,828,0.03993826,20732,0.294252,0,-0.059005957,2.791324695,-0.212187387
507,sample_507,1428,0.041324227,2001,0.057906008,1411,0.040832272,1423,0.041179535,1436,0.041555736,34556,0.495823,0,0.116228888,1.723779569,-0.088437493
508,sample_508,365,0.037847366,952,0.098714226,378,0.039195355,358,0.037121526,395,0.040958109,9644,0.132181,18,-0.237254347,5.974192945,-0.259609471
509,sample_509,980,0.040039222,1568,0.064062755,988,0.040366073,987,0.040325217,985,0.040243504,24476,0.348958,0,-0.014414183,2.365040657,-0.137187819
510,sample_510,594,0.040584859,1146,0.078300082,568,0.038808418,583,0.039833288,589,0.040243236,14636,0.205103,18,0.041059298,3.847941047,-0.300071358
513,sample_513,398,0.040463603,939,0.095465636,375,0.038125254,400,0.040666938,378,0.038430256,9836,0.134875,18,0.028731506,5.635833396,-0.371509551
514,sample_514,399,0.04056527,972,0.098820659,406,0.041276942,395,0.040158601,387,0.039345262,9836,0.134875,18,0.039067755,5.985278492,-0.041938529
515,sample_515,380,0.037893897,980,0.097726366,383,0.038193059,403,0.040187475,401,0.039988034,10028,0.13823,18,-0.23252368,5.871301549,-0.364419175
516,sample_516,384,0.03829278,986,0.098324691,410,0.040885521,392,0.039090546,412,0.041084962,10028,0.13823,18,-0.191970291,5.933620546,-0.082869336
517,sample_517,712,0.039991013,1306,0.073354302,726,0.040777353,719,0.040384183,705,0.039597843,17804,0.251387,0,-0.019315448,3.332809333,-0.094180341
518,sample_518,703,0.039485509,1277,0.071725455,700,0.039317007,721,0.040496518,735,0.041282858,17804,0.251387,0,-0.070708736,3.163155396,-0.246888276
520,sample_520,1353,0.041335696,1931,0.058994256,1335,0.040785775,1343,0.041030185,1324,0.040449713,32732,0.469204,0,0.117394871,1.837127006,-0.093299656
522,sample_522,1204,0.04099142,1772,0.060329566,1192,0.040582868,1219,0.041502111,1205,0.041025466,29372,0.419718,0,0.08239329,1.976207226,-0.114517616
523,sample_523,1273,0.041379535,1810,0.058835002,1251,0.040664413,1266,0.041151996,1267,0.041184501,30764,0.440114,0,0.121851822,1.82053973,-0.105990489
524,sample_524,868,0.041483464,1436,0.068629325,836,0.03995412,847,0.040479832,851,0.040671,20924,0.296905,0,0.132418053,2.840675469,-0.180265641
525,sample_525,1393,0.041286307,1959,0.058061648,1373,0.040693539,1369,0.040574985,1399,0.041464138,33740,0.483508,0,0.112373633,1.739990407,-0.102944805
526,sample_526,363,0.03840457,952,0.100719424,388,0.041049513,368,0.038933559,372,0.03935675,9452,0.129211,18,-0.180604874,6.183045981,-0.06572066
527,sample_527,1333,0.040428242,1939,0.058807473,1340,0.040640543,1368,0.041489749,1340,0.040640543,32972,0.47239,0,0.025136452,1.817672431,-0.108486511
529,sample_529,652,0.040316597,1229,0.075995548,665,0.041120455,648,0.040069256,651,0.040254761,16172,0.227503,18,0.013785745,3.607910411,-0.0583023
530,sample_530,493,0.038770053,1083,0.085168292,497,0.039084618,493,0.038770053,525,0.041286568,12716,0.176846,18,-0.143447186,4.563305064,-0.271189187
531,sample_531,512,0.040264234,1092,0.085876062,499,0.0392419,506,0.039792388,510,0.040106952,12716,0.176846,18,0.008462183,4.637023399,-0.254742239
532,sample_532,1416,0.041148437,1983,0.057625247,1416,0.041148437,1424,0.041380914,1408,0.04091596,34412,0.493844,0,0.098356709,1.694536716,-0.055376284
533,sample_533,572,0.039470052,1168,0.080596191,584,0.040298096,569,0.039263042,592,0.040850124,14492,0.202981,18,-0.07228015,4.087094157,-0.144296194
534,sample_534,1248,0.0405037,1848,0.059976632,1245,0.040406335,1279,0.041509801,1260,0.040893159,30812,0.440808,0,0.032808038,1.939447191,-0.132977602
535,sample_535,590,0.040311561,1151,0.078641705,578,0.039491664,573,0.039150041,568,0.038808418,14636,0.205156,18,0.013273743,3.883523111,-0.22862445
536,sample_536,603,0.041199781,1168,0.079803225,588,0.040174911,578,0.039491664,592,0.04044821,14636,0.205156,18,0.103576796,4.004502127,-0.157177541
537,sample_537,1394,0.04062245,1962,0.057174496,1423,0.041467537,1394,0.04062245,1386,0.040389323,34316,0.492119,0,0.044881066,1.647588362,-0.022008051
538,sample_538,397,0.038305673,961,0.092724817,410,0.039560015,398,0.038402161,402,0.038788113,10364,0.143002,18,-0.190659467,5.350361074,-0.221477001
539,sample_539,1035,0.041077949,1594,0.06326401,1038,0.041197015,1021,0.040522305,1016,0.040323861,25196,0.359104,0,0.091190411,2.281846699,-0.050296413
540,sample_540,993,0.040972108,1566,0.064614623,980,0.040435715,995,0.041054629,1000,0.041260934,24236,0.345358,0,0.08042981,2.42252087,-0.129905316
541,sample_541,1128,0.04137931,1692,0.062068966,1115,0.040902421,1110,0.040719002,1115,0.040902421,27260,0.389336,0,0.121829031,2.157375848,-0.081102046
542,sample_542,1094,0.040132062,1701,0.06239912,1122,0.041159208,1104,0.040498899,1094,0.040132062,27260,0.389336,0,-0.004975434,2.191763315,-0.05424996
543,sample_543,1272,0.040900322,1848,0.059421222,1288,0.041414791,1284,0.041286174,1263,0.040610932,31100,0.444974,0,0.073131511,1.881597944,-0.027523685
544,sample_544,1373,0.041221328,1953,0.058634562,1347,0.040440735,1381,0.041461511,1378,0.041371442,33308,0.477724,0,0.105767406,1.799662771,-0.129380429
545,sample_545,568,0.039988736,1124,0.079132639,569,0.040059138,552,0.038862292,557,0.039214306,14204,0.198765,18,-0.019547014,3.93465667,-0.169283878
546,sample_546,576,0.040551957,1125,0.079203041,584,0.041115179,558,0.039284709,565,0.039777527,14204,0.198765,18,0.037714233,3.941989522,-0.058854039
547,sample_547,1405,0.040828781,1989,0.057799605,1428,0.041497152,1394,0.040509125,1415,0.041119377,34412,0.493728,0,0.065858139,1.712697093,-0.018911204
548,sample_548,1412,0.04126242,1977,0.057773232,1414,0.041320865,1422,0.041554646,1413,0.041291642,34220,0.490402,0,0.109945063,1.709950216,-0.037345499
549,sample_549,349,0.039319513,903,0.101735016,338,0.038080216,345,0.03886886,346,0.038981523,8876,0.121407,18,-0.087585066,6.288825724,-0.376219145
550,sample_550,331,0.037291573,917,0.103312303,357,0.04022082,352,0.039657503,331,0.037291573,8876,0.121407,18,-0.293760392,6.453109347,-0.152376849
552,sample_552,1308,0.040921036,1887,0.059035165,1295,0.040514329,1315,0.041140033,1291,0.040389188,31964,0.45814,0,0.075237512,1.84138783,-0.121684762
553,sample_553,1399,0.041464138,1948,0.057735625,1402,0.041553053,1399,0.041464138,1386,0.041078838,33740,0.483995,0,0.130453184,1.706033264,-0.013065695
554,sample_554,427,0.039551686,984,0.091144868,434,0.040200074,429,0.03973694,421,0.038995924,10796,0.148955,18,-0.063980703,5.185800278,-0.154546261
555,sample_555,336,0.037053375,917,0.101124835,370,0.040802823,368,0.040582267,373,0.041133657,9068,0.124121,18,-0.317977379,6.225271803,-0.091516981
556,sample_556,930,0.040882715,1481,0.065104625,933,0.041014595,910,0.040003517,916,0.040267276,22748,0.3237,0,0.071341497,2.473557398,-0.069372091
557,sample_557,746,0.040272079,1328,0.07169078,731,0.039462319,737,0.039786223,741,0.040002159,18524,0.261978,0,0.009259807,3.159543748,-0.231693072
558,sample_558,750,0.040488016,1308,0.070611099,748,0.040380048,753,0.040649968,752,0.040595984,18524,0.261978,0,0.031213455,3.047088753,-0.135726497
559,sample_559,315,0.038395904,895,0.109093125,310,0.037786446,311,0.037908337,304,0.037055095,8204,0.11154,18,-0.181485925,7.055215634,-0.406938656
560,sample_560,1127,0.040981818,1685,0.061272727,1116,0.040581818,1105,0.040181818,1129,0.041054545,27500,0.392932,0,0.081417058,2.074443003,-0.114627399
561,sample_561,1178,0.040171873,1756,0.05988269,1188,0.04051289,1197,0.040819806,1192,0.040649298,29324,0.419284,0,-0.000927931,1.92966253,-0.12183515
562,sample_562,929,0.041362422,1475,0.065672306,930,0.041406946,924,0.041139804,893,0.039759573,22460,0.319237,0,0.120112046,2.532684754,-0.028344068
563,sample_563,928,0.041317898,1502,0.066874443,903,0.040204809,904,0.040249332,923,0.04109528,22460,0.319237,0,0.11558545,2.657894329,-0.154051182
564,sample_564,492,0.041013671,1038,0.086528843,462,0.038512838,487,0.040596866,471,0.039263088,11996,0.166851,18,0.084655472,4.705014368,-0.330980068
565,sample_565,625,0.03899426,1201,0.07493137,646,0.040304467,625,0.03899426,650,0.04055403,16028,0.225062,18,-0.1206527,3.497070108,-0.143629909
566,sample_566,540,0.039624303,1113,0.081670091,556,0.040798356,559,0.041018491,531,0.038963898,13628,0.190425,18,-0.056597915,4.198947088,-0.091984071
567,sample_567,554,0.0406516,1131,0.082990901,558,0.040945113,548,0.04021133,558,0.040945113,13628,0.190425,18,0.047844616,4.336517143,-0.07663777
568,sample_568,810,0.041368744,1356,0.069254341,785,0.040091931,812,0.041470889,786,0.040143003,19580,0.276981,0,0.120754739,2.90577452,-0.165854801
569,sample_569,1067,0.040644522,1650,0.062852354,1065,0.040568338,1083,0.041254,1063,0.040492153,26252,0.3748,0,0.047125084,2.238970327,-0.116037054
570,sample_570,1307,0.04151315,1878,0.059649346,1294,0.041100241,1284,0.04078262,1307,0.04151315,31484,0.450924,0,0.135436106,1.905358369,-0.060416042
572,sample_572,721,0.041162366,1272,0.072619319,701,0.040020553,723,0.041276547,699,0.039906371,17516,0.247313,18,0.099772859,3.256256586,-0.173318766
573,sample_573,1274,0.040280764,1864,0.058935121,1289,0.040755027,1281,0.040502087,1281,0.040502087,31628,0.452576,0,0.010142729,1.830967689,-0.096514986
574,sample_574,515,0.038605697,1098,0.082308846,537,0.040254873,547,0.041004498,515,0.038605697,13340,0.186321,18,-0.160156857,4.265477094,-0.148816003
575,sample_575,635,0.040343075,1190,0.075603558,646,0.041041931,615,0.039072427,649,0.041232529,15740,0.221293,18,0.016477732,3.567082368,-0.066513502
576,sample_576,627,0.039834816,1206,0.076620076,626,0.039771283,650,0.041296061,638,0.040533672,15740,0.221293,18,-0.035195633,3.672958675,-0.199384779
577,sample_577,799,0.041008007,1341,0.068825703,801,0.041110655,793,0.040700062,792,0.040648737,19484,0.275619,0,0.084079562,2.861129376,-0.059327105
578,sample_578,1003,0.040113582,1570,0.062789954,1032,0.041273396,1002,0.040073588,1019,0.040753479,25004,0.355977,0,-0.006854227,2.232470952,-0.04230929
579,sample_579,649,0.039544236,1227,0.074762369,670,0.040823787,653,0.03978796,643,0.03917865,16412,0.230852,18,-0.064738113,3.479467659,-0.089324744
580,sample_580,649,0.039544236,1225,0.074640507,640,0.038995857,657,0.040031684,670,0.040823787,16412,0.230852,18,-0.064738113,3.466775018,-0.28047091
581,sample_581,488,0.039266173,1080,0.086900547,476,0.038300612,491,0.039507564,486,0.039105246,12428,0.173023,18,-0.093008016,4.743729523,-0.353172485
582,sample_582,508,0.040875443,1063,0.085532668,494,0.039748954,507,0.040794979,474,0.038139685,12428,0.173023,18,0.07060213,4.60125697,-0.201719756
583,sample_583,1396,0.04096725,1951,0.057254373,1403,0.041172673,1413,0.041466135,1404,0.041202019,34076,0.488603,0,0.079935917,1.655907987,-0.052841906
584,sample_584,1217,0.040507256,1813,0.060344828,1210,0.040274264,1228,0.040873386,1221,0.040640394,30044,0.430056,0,0.033169584,1.977796853,-0.146788203
585,sample_585,1172,0.040430523,1766,0.060921761,1192,0.041120464,1188,0.040982476,1187,0.040947978,28988,0.414506,0,0.025368338,2.037887796,-0.058301407
586,sample_586,844,0.041090555,1391,0.067721519,817,0.039776047,843,0.04104187,852,0.041480039,20540,0.291308,0,0.092472043,2.746122173,-0.198886674
587,sample_587,1396,0.041141106,1977,0.058263586,1391,0.040993752,1382,0.040728516,1403,0.041347401,33932,0.486322,0,0.097611401,1.761023435,-0.071551583
588,sample_588,455,0.039675619,1021,0.089030345,446,0.038890827,454,0.03958842,437,0.038106034,11468,0.158559,18,-0.051380733,4.96556039,-0.291453869
589,sample_589,1179,0.041218011,1750,0.061180255,1170,0.04090337,1149,0.040169207,1171,0.04093833,28604,0.408875,0,0.105430202,2.064811427,-0.081002807
592,sample_592,891,0.04044852,1447,0.065689123,901,0.040902488,911,0.041356455,897,0.040720901,22028,0.312731,0,0.027198055,2.534436302,-0.081095081
593,sample_593,1332,0.041055357,1919,0.059148071,1309,0.040346443,1316,0.040562199,1328,0.040932068,32444,0.464949,0,0.088893546,1.853147643,-0.1392405
594,sample_594,1238,0.040814981,1827,0.060233417,1254,0.041342477,1233,0.040650138,1228,0.040485296,30332,0.434371,0,0.064455152,1.966192777,-0.035085581
595,sample_595,511,0.040034472,1095,0.085788154,525,0.041131307,516,0.040426199,504,0.039486055,12764,0.178042,18,-0.014897117,4.627867325,-0.057167542
596,sample_596,491,0.040127493,1056,0.086302713,504,0.041189931,476,0.038901602,479,0.03914678,12236,0.169942,18,-0.005439951,4.68146165,-0.05103719
597,sample_597,467,0.038166067,1057,0.086384439,501,0.040944753,505,0.041271657,499,0.040781301,12236,0.169942,18,-0.204852853,4.689973894,-0.076675396
598,sample_598,816,0.040484223,1394,0.069160548,824,0.040881127,808,0.040087319,797,0.039541576,20156,0.285843,0,0.030827883,2.896005388,-0.083328745
599,sample_599,752,0.039771525,1355,0.071662788,767,0.04056484,758,0.040088851,771,0.040776391,18908,0.267732,0,-0.041630207,3.156628293,-0.116402773
600,sample_600,1162,0.041106552,1728,0.061129192,1142,0.040399038,1166,0.041248054,1135,0.040151408,28268,0.403678,0,0.094098371,2.059492971,-0.13374069
602,sample_602,682,0.040374142,1258,0.074473123,669,0.039604547,663,0.039249349,668,0.039545347,16892,0.238001,18,0.019636194,3.449341045,-0.216820398
603,sample_603,752,0.039974484,1346,0.071550074,763,0.040559218,755,0.040133957,742,0.039442909,18812,0.266036,0,-0.020995896,3.144888493,-0.116990743
604,sample_604,478,0.039218904,1057,0.086724647,474,0.038890712,495,0.040613718,491,0.040285527,12188,0.169517,18,-0.097813762,4.725408519,-0.29146584
605,sample_605,720,0.039586541,1301,0.07153068,744,0.040906092,728,0.040026391,751,0.041290961,18188,0.256693,0,-0.060437111,3.142868406,-0.080718192
606,sample_606,1033,0.040535238,1616,0.063412337,1051,0.041241563,1025,0.040221315,1055,0.041398525,25484,0.363386,0,0.036014416,2.297295818,-0.045638049
607,sample_607,896,0.040150565,1492,0.06685786,911,0.040822728,915,0.041001972,904,0.040509052,22316,0.317223,0,-0.003094285,2.656167048,-0.089435524
608,sample_608,1176,0.041461007,1737,0.061239599,1168,0.041178959,1163,0.041002679,1176,0.041461007,28364,0.404996,0,0.130134903,2.070992552,-0.05218454
613,sample_613,397,0.041165491,949,0.098403152,392,0.040647034,388,0.040232269,363,0.037639983,9644,0.132409,18,0.100090636,5.941792753,-0.107807756
